,Question
0,How can a company provide reasonable accommodation for an employee with a disability?
1,How long did George II of Great Britain rule as king?
2,Where is Elephant Island located in relation to Antarctica?
3,How long is Regent's Canal in London?
4,Why is Frankie Muse Freeman an important figure in American civil rights history?
5,How many people were killed in the 2023 Nottingham attacks?
6,How many destinations does Garuda Indonesia fly to?
7,How much does an adult nilgai usually weigh?
8,What political position did Wataru Sumida hold in Japan?
9,Which political party is Issawi Frej a member of?
10,Which position did Andriy Voronin usually play on the football field?
11,How old was Roger Cecil when he died?
12,How many members sit in the legislative assembly of Ontario?
13,Who created the manga Dilemma of Two Angels?
14,Which country won the 1993 Fifa u-17 World Championship?
15,What is a chemical change in simple terms?
16,How many people live in Fontenay-Sous-Bois?
17,"How many people live in Crestwood, Missouri?"
18,How many runways does Harry Reid International Airport have?
19,How was Elisa Lam found dead at the Cecil Hotel?
20,Which political party did Winfield Dunn belong to?
21,How many seasons of Bridgerton have been released?
22,"How many people live in Pineville, Missouri?"
23,"How many people live in Toledo, Iowa?"
24,How do supporters of National-Anarchism describe their main beliefs?
25,How many people live on Ile-de-Batz?
26,When was the current flag of Montana officially adopted?
27,who is Christine Philip?
28,"How many people live in Stevens County, Kansas?"
29,How many children did John Carradine have?
30,What is Noah Baumbach best known for in his film career?
31,How many people live in Villeseque-des-Corbieres?
32,How long did Adamu Adamu serve as Nigeria's minister of education?
33,How many students attend the Pontifical Catholic University of Rio de Janeiro?
34,How many people live in Jerzens?
35,How many people lived in the Province of Naples before it was abolished?
36,"How many people live in St. Ansgar, Iowa?"
37,How did Montserrat Caballe become famous as an opera singer?
38,How many games did Laszlo Barczay win at the 1972 chess olympiad in Skopje?
39,Who is Nicholas Kazan?
40,How many wireless controllers can connect to the Nes Satellite?
41,Which band did Toshio Matsuura help to start?
42,Which political party did Francesco Sama belong to?
43,How long was Mark David Chapman sentenced to prison for killing John Lennon?
44,"What is the population of Pembroke, Kentucky?"
45,How many people live in the electoral district of Narracan?
46,"Wow many people live in Maud, Oklahoma?"
47,Who were the Anglo-Normans in medieval history?
48,Which sport did Alphonse Allaert compete in at a professional level?
49,"How many people live in Park Forest, Illinois?"
50,"How many people live in Minnetonka, Minnesota?"
51,How many studio albums has Madonna released?
52,Where do most Irish people live outside of Ireland?
53,Why did Dmitri Vrubel become famous as an artist?
54,How did the song 'Up at Night' perform on music charts?
55,Which university is Rajshahi College currently affiliated with?
56,Why was Jam Saqi an important figure in Pakistani politics?
57,Why is Robin Hood famous?
58,Where is Fastiv located in Ukraine?
59,How many people live in Ixelles?
60,Jow many vehicle entries are listed in the Internet Movie Cars database?
61,How can I tell if I have hypoglycemia?
62,How is a hostname used to identify a device on a network?
63,How far away from earth is NGC 6559?
64,How does an enterovirus usually spread from person to person?
65,Why is promiscuity often viewed as negative in many societies?
66,How old was Bill Tarmey when he died?
67,How long did Charles Haughey serve as Taoiseach of Ireland?
68,How many protons does an atom of flerovium have?
69,Why is the word 'kike' considered a derogatory term?
70,How many pupils are enrolled at Vale of Leven Academy?
71,Why do some people criticize the idea of gender binarism?
72,How many professional bouts did Akihiro Kameda have in his boxing career?
73,Where is the city of Imus located?
74,How many medals has Thailand won at the Olympics?
75,Why are the Dead Kennedys considered an important punk band?
76,"How many people live in Scotland, Texas?"
77,Why is Hans Lippershey an important figure in history?
78,What is the population of Drubec?
79,When did Mazaris write his work?
80,How many Emmy awards has Jeff Daniels won?
81,Who wrote the Beatles song You Can't Do That?
82,How many people live in Venlo?
83,Which important political role did Eino uusitalo hold in Finland?
84,Why do many teachers encourage silent reading in class?
85,Which role made Richard Chamberlain a television star?
86,How many members does the Inspection Generale des Finances in France have?
87,How old was Christa McAuliffe when she died?
88,How many languages are in the Nakh language group?
89,How many men are lynched in the Ox-Bow Incident?
90,"What is the population of Poweshiek county, Iowa?"
91,"How many people live in Auer, south tyrol?"
92,Where is the town of Linton located?
93,How long can a bowfin live in the wild?
94,How old was Jerome Cooper when he died?
95,How many home runs did Alex Rodriguez hit in his MLB career?
96,Which political ideology did Carlo Fonseka strongly support?
97,Who wrote the novel Belinda?
98,What is the album Calling Time about?
