,responses,similarities,probs
0,"Providing reasonable accommodation for an employee with a disability involves implementing reasonable adjustments, policies, and procedures to enable that employee to perform their job effectively. This can involve making modifications to the workplace or providing additional support or resources, such as assistive technology or mobility devices, that would help the employee overcome their limitations. The",0.9024034738540649,-0.8864874632719635
1,"George II of Great Britain ruled as king from May 22, 1727, until his death on February 25, 1760. He was reigning for a total of 33 years, which is one of the longest reigns in British history. During his rule,",0.8903788924217224,-0.25027133636767274
2,"Elephant Island, also known as Elephant Land, is located in Antarctica. It is situated in the northern Ross Ice Shelf, which is connected to Antarctica's main continent. Specifically, it is about 2,000 kilometers from the South Pole, east",0.8644658327102661,-0.7638626576896849
3,"Regent's Canal in London stretches for approximately 8 miles, or around 13 kilometers. The canal spans from Regent's Park in the north of London to the River Thames at Paddington Basin in the southwest. The canal's length includes Regent's",0.8676751852035522,-0.6177161021912061
4,"Frankie Muse Freeman is an important figure in American civil rights history for several reasons. First, Freeman was one of the most prominent and influential figures in the civil rights movement of the 1950s and 1960s. As a prominent activist and lawyer, he played a key",0.8797522783279419,-0.4963840505683716
5,"No information about attacks in the year 2023 exists. Please specify a different year. Nottingham refers to multiple incidents that have taken place in Nottinghamshire, England since 2017. One of the deadliest was on April 9, 2019, when five",0.8307048678398132,-0.9061044806389613
6,"Garuda Indonesia flies to over 80 destinations. These include major cities in Indonesia, as well as destinations in Asia, the Middle East, Europe, and the United States. The airline's extensive network covers a wide range of both international and domestic destinations, allowing travelers to easily explore the",0.8418558835983276,-0.5876288053350662
7,"An adult nilgai, also known as Indian antelope, typically weighs between 150 to 200 kg or 330 to 440 lb. This weight range is an average and individual nilgai may weigh more or less. Nilgai are native to",0.8798431158065796,-0.4485156053041759
8,"Wataru Sumida (born September 9, 1947) was a politician from Japan who held various political positions in his country. From 2005 to 2006, Sumida served as the 104th Prime Minister of Japan. He also held positions in",0.8326731324195862,-0.7630407064947298
9,"Issawi Frej is a former politician from Israel. He was born on October 4, 1966, in Yerusalem. He was a member of the political party called ""Shas"". This political party is an ultra-Orthodox Jewish political party that was established in 198",0.8234471678733826,-0.763291377121471
